feature_A,feature_B,temperature,yield
6.4303,0.6125,255.01,0.2845
6.7993,4.5148,217.39,1.9304
4.277,0.6341,243.73,0.2297
2.0685,3.4245,308.99,0.6061
2.2824,3.1517,361.89,0.6948
7.0116,2.0311,231.1,0.8754
9.5764,2.0147,218.55,0.9584
6.0769,4.1321,345.95,1.7563
5.4087,4.879,275.71,1.8678
6.2233,4.3777,315.47,1.8218
7.0753,0.7062,245.58,0.3201
2.4046,0.9545,255.59,0.2224
6.3933,2.1417,274.04,0.9186
9.3729,3.4162,321.83,1.6255
1.7943,3.7811,232.68,0.4706
6.436,3.0063,336.92,1.3448
8.4442,3.992,245.81,1.8123
2.7506,1.4494,388.58,0.4288
8.776,1.9161,331.09,0.8882
4.6426,1.692,249.33,0.6485
5.6575,1.6823,316.92,0.7312
2.2713,4.9889,301.91,0.9477
1.0,0.712,221.93,0.0219
4.2794,0.7859,276.32,0.2762
9.9616,2.881,394.22,1.4198
7.2351,3.5677,307.39,1.5735
2.7416,3.3843,222.31,0.7611
9.5428,4.4413,252.68,2.056
5.0558,1.3039,382.53,0.585
6.4256,3.2404,230.57,1.3333
7.6489,2.9272,355.73,1.3457
3.3091,0.5876,385.82,0.2541
8.7993,4.2425,261.5,1.9694
9.4748,0.8854,297.2,0.4656
0.7852,3.9227,353.17,0.218
5.5431,1.6928,374.49,0.7583
4.2891,1.4531,307.86,0.5401
3.186,4.9782,329.98,1.371
4.4372,2.8291,224.2,0.9858
5.9243,1.5355,244.04,0.651
0.8028,3.34,245.79,0.1673
0.8015,1.571,333.8,0.097
2.2209,1.0954,387.1,0.267
7.8677,4.1337,238.08,1.8138
1.0596,2.4397,284.72,0.146
6.7663,4.9287,219.68,2.076
4.086,2.0269,372.33,0.7447
4.5413,2.3985,255.71,0.8757
2.5731,4.6547,288.63,1.047
0.6008,4.9968,367.21,0.1606
9.6931,4.6687,369.74,2.2267
2.2161,2.3047,211.73,0.4326
3.8518,4.9339,253.04,1.5667
4.2878,4.8079,399.08,1.6919
5.6021,3.7328,230.96,1.4507
5.8339,2.9399,349.6,1.2877
0.6659,3.1288,300.57,0.1308
9.6117,0.8605,237.16,0.4013
5.9908,3.5385,247.04,1.4687
2.5375,3.1753,323.88,0.7529
4.2503,3.1265,304.56,1.1081
7.1903,1.5741,279.16,0.7045
6.7497,1.85,263.24,0.8041
4.637,4.993,399.22,1.8517
0.8253,1.4592,253.04,0.1155
8.8048,2.1629,231.55,0.9679
8.3541,3.6659,322.34,1.7138
0.1774,4.177,259.88,0.0349
6.6675,4.7252,226.86,1.9854
5.5769,1.7256,320.97,0.7359
7.2044,1.4162,326.85,0.6648
9.0628,4.3075,218.46,1.9733
4.2934,1.7451,200.71,0.5904
2.6934,3.8355,310.34,0.8828
4.3341,0.5435,215.05,0.2234
5.5013,4.2557,316.5,1.6693
1.5661,1.0735,261.65,0.1745
8.621,4.5452,242.02,2.027
2.5703,0.9626,356.02,0.297
6.2445,1.1955,385.98,0.5651
8.6596,4.8929,362.15,2.2687
7.392,1.9948,386.16,0.9464
8.0421,4.3883,362.15,2.0035
1.1701,4.4248,371.72,0.413
2.3021,4.1746,292.06,0.8075
2.3532,0.6065,238.63,0.1683
3.3498,4.3896,393.38,1.3094
4.0568,4.9152,307.24,1.6706
9.3984,1.019,394.08,0.5817
2.7281,0.9878,286.91,0.3132
7.3126,1.9115,321.24,0.859
5.8082,1.6463,341.76,0.7192
0.1167,4.6651,307.69,0.0511
6.7392,2.139,213.99,0.8673
6.676,1.9859,262.78,0.8759
3.0732,1.8918,281.68,0.4991
4.0838,1.8304,225.46,0.5655
6.8054,4.5626,323.1,1.9944
3.0794,2.9657,200.08,0.756
5.8418,3.4462,293.0,1.4306
4.4774,1.4617,294.64,0.5807
1.7799,0.8816,303.09,0.1456
6.3661,2.0083,363.68,0.9038
2.3239,1.3961,204.89,0.2343
2.5239,2.6381,369.95,0.6502
6.3347,1.375,339.27,0.6403
4.9943,1.5979,331.21,0.6861
7.7235,0.9796,285.03,0.4693
1.8413,4.8108,303.59,0.7244
8.4985,2.5541,360.28,1.2204
6.709,4.9455,319.09,2.1603
6.1653,3.7367,300.96,1.5481
8.3226,2.9654,379.44,1.401
2.666,1.6126,327.53,0.3969
7.6816,2.8458,325.35,1.2961
2.9287,1.7227,263.94,0.4602
5.4475,1.1227,246.25,0.443
0.7359,2.3342,308.52,0.0911
4.2162,1.4308,284.03,0.5388
6.9857,4.3553,353.12,1.9002
3.8658,0.5265,270.35,0.2003
9.539,2.3856,349.5,1.121
5.5067,3.2146,244.11,1.2656
0.3873,2.0126,335.83,0.1054
4.1027,1.2427,293.48,0.471
0.367,2.2731,312.88,0.0933
0.3683,3.3924,227.14,0.0325
3.8531,1.4525,265.37,0.4864
7.6362,2.2061,350.4,1.0383
0.9109,0.5872,307.88,0.0655
9.9991,2.0748,330.03,1.0224
7.5669,4.7733,239.87,2.0539
0.3018,1.1857,225.24,0.0061
2.2578,3.6476,353.38,0.7136
1.7611,3.2326,349.59,0.5169
9.6507,0.9864,205.14,0.4767
3.1884,3.5481,391.63,1.0115
0.8524,3.6078,325.45,0.2166
1.1088,3.9762,370.06,0.3158
9.8401,4.0219,269.44,1.8686
4.3409,2.1676,301.19,0.763
8.2411,0.9749,392.16,0.5592
6.3923,4.2292,341.46,1.7737
9.6582,1.7154,361.64,0.8759
5.4279,2.6757,287.11,1.0665
8.532,4.2383,217.33,1.8789
8.8281,1.5974,292.94,0.7475
0.3841,4.3293,236.37,0.0406
2.2,4.0902,268.07,0.7719
2.8351,0.5457,389.61,0.2023
0.9476,3.7403,297.72,0.2201
6.4944,2.7087,358.59,1.1649
1.0212,1.4972,338.36,0.1378
4.7853,2.8891,285.1,1.1043
7.4848,1.9886,340.57,0.9249
1.2945,1.3666,223.91,0.1343
5.4051,3.9299,237.03,1.5255
7.2734,4.8947,304.93,2.1665
2.9017,0.9524,238.82,0.2513
0.2401,2.9036,254.86,0.0491
9.7455,2.9901,339.48,1.4636
4.9597,4.4272,314.81,1.7068
4.747,2.4821,236.87,0.9504
4.8295,4.1995,280.14,1.5703
0.8334,3.3325,210.72,0.14
3.108,4.9726,223.69,1.3197
7.668,3.2284,358.15,1.4827
4.5601,2.4922,372.03,0.9798
9.9013,1.8742,324.21,0.8951
9.4811,1.435,242.21,0.6525
6.6382,1.2068,234.76,0.5197
4.56,3.1722,258.25,1.1367
2.3916,3.6813,340.6,0.7563
9.2467,4.0452,325.01,1.9012
6.6457,4.7015,285.03,1.9676
9.0933,4.2198,214.28,1.902
1.7426,1.8843,349.79,0.2976
1.3311,3.5991,339.95,0.359
9.4325,2.7521,298.76,1.304
4.3771,1.9504,250.07,0.6913
1.0041,4.8286,367.19,0.2831
9.9958,3.5253,253.9,1.6216
0.4983,3.9032,294.1,0.0736
1.8967,3.134,326.96,0.4747
4.9681,0.9106,269.59,0.3535
8.5916,1.9841,338.73,0.9794
2.9534,4.7534,362.71,1.2301
3.2137,1.9547,394.04,0.6125
4.1013,2.8157,397.62,1.0022
4.1912,1.3441,272.36,0.4596
7.5888,3.3143,352.0,1.5165
9.284,2.4715,339.65,1.2129
1.3021,4.8792,321.77,0.4484
5.5533,2.9851,218.64,1.1764
9.9233,4.6082,292.29,2.1852
5.0339,3.7247,301.77,1.4506
2.8069,4.2563,396.05,1.0924
3.8975,4.6484,301.65,1.5356
8.8053,4.3881,255.25,1.9986
9.3491,2.7848,364.11,1.3244
